electoral_district_name,candidate,party
SCARBOROUGH--GUILDWOOD,HUNTER,
SCARBOROUGH--GUILDWOOD,KERR,
SCARBOROUGH--GUILDWOOD,KIRUPA,
SCARBOROUGH--GUILDWOOD,MOKHTARZADA,
SCARBOROUGH--GUILDWOOD,SAWDON,
SCARBOROUGH--GUILDWOOD,SYED,
SCARBOROUGH--ROUGE RIVER,BALKISSOON,
SCARBOROUGH--ROUGE RIVER,CHO,
SCARBOROUGH--ROUGE RIVER,KHAN,
SCARBOROUGH--ROUGE RIVER,SHAN,
SCARBOROUGH--ROUGE RIVER,SINGH,
SCARBOROUGH CENTRE,BAKER,
SCARBOROUGH CENTRE,DUGUID,
SCARBOROUGH CENTRE,RAMALHO,
SCARBOROUGH CENTRE,YAGHLEDJIAN,
SCARBOROUGH SOUTHWEST,BERARDINETTI,
SCARBOROUGH SOUTHWEST,DEL GRANDE,
SCARBOROUGH SOUTHWEST,FOALENG,
SCARBOROUGH SOUTHWEST,KANG,
SCARBOROUGH SOUTHWEST,MACAULAY,
SCARBOROUGH SOUTHWEST,ROSE,
SIMCOE--GREY,DUDUN,
SIMCOE--GREY,KENNEY,
SIMCOE--GREY,MATTHEWS,
SIMCOE--GREY,WILSON,
SIMCOE NORTH,DUNLOP,
SIMCOE NORTH,LARSEN,
SIMCOE NORTH,MIDDLETON,
SIMCOE NORTH,STUBBINS,
ST. CATHARINES,BRADLEY,
ST. CATHARINES,DUSHKO,
ST. CATHARINES,FRASER,
ST. CATHARINES,SISCOE,
ST. CATHARINES,STEVENS,
ST. CATHARINES,UNRAU,
ST. CATHARINES,WAZIRUDDIN,
ST. PAUL'S,DELUCE,
ST. PAUL'S,HOSKINS,
ST. PAUL'S,KITTREDGE,
ST. PAUL'S,RACHLIS,
ST. PAUL'S,RITA,
ST. PAUL'S,SAVAGE,
STORMONT--DUNDAS--SOUTH GLENGARRY,EARLE,
STORMONT--DUNDAS--SOUTH GLENGARRY,MACDONALD,
STORMONT--DUNDAS--SOUTH GLENGARRY,MCDONELL,
STORMONT--DUNDAS--SOUTH GLENGARRY,MCRAE,
STORMONT--DUNDAS--SOUTH GLENGARRY,NORMAN,
SUDBURY,CIMINO,
SUDBURY,LALONDE,
SUDBURY,OLIVIER,
SUDBURY,PERONI,
SUDBURY,POPESCU,
SUDBURY,WILSON,
THORNHILL,BALFOUR,
THORNHILL,BERGART,
THORNHILL,GOODWIN,
THORNHILL,HACKELBERG,
THORNHILL,MARTOW,
THORNHILL,YEUNG RACCO,
THUNDER BAY--ATIKOKAN,DEIBEL,
THUNDER BAY--ATIKOKAN,KOZORYS,
THUNDER BAY--ATIKOKAN,MAURO,
THUNDER BAY--ATIKOKAN,NORTHEY,
THUNDER BAY--ATIKOKAN,TALARICO,
THUNDER BAY--ATIKOKAN,WILSON,
THUNDER BAY--SUPERIOR NORTH,FOULDS,
THUNDER BAY--SUPERIOR NORTH,GRAVELLE,
THUNDER BAY--SUPERIOR NORTH,JOHNSON,
THUNDER BAY--SUPERIOR NORTH,LEBLANC,
THUNDER BAY--SUPERIOR NORTH,PARKS,
THUNDER BAY--SUPERIOR NORTH,SLOAN,
TIMISKAMING--COCHRANE,CHITARONI,
TIMISKAMING--COCHRANE,FRASER,
TIMISKAMING--COCHRANE,GOYER,
TIMISKAMING--COCHRANE,POLITIS,
TIMISKAMING--COCHRANE,VANTHOF,
TIMMINS--JAMES BAY,BISSON,
TIMMINS--JAMES BAY,BLACK,
TIMMINS--JAMES BAY,FONTAINE,
TIMMINS--JAMES BAY,HRYCYNA,
